season	player_id	player	birth_year	pos	age	experience	
lg	tm	g	gs	mp_per_game	fg_per_game	
fga_per_game	fg_percent	x3p_per_game	x3pa_per_game	
x3p_percent	x2p_per_game	x2pa_per_game	x2p_percent	
e_fg_percent	ft_per_game	fta_per_game	ft_percent	
orb_per_game	drb_per_game	trb_per_game	ast_per_game	
stl_per_game	blk_per_game	tov_per_game	pf_per_game	
pts_per_game
2010	3731	Aaron Brooks	NA	PG	25	3	NBA	
HOU	82	82	35.6	7	16.2	0.432	2.5	6.4	
0.398	4.5	9.8	0.454	0.511	3	3.6	0.822	0.7	2	
2.6	5.3	0.8	0.2	2.8	2.4	19.6
2010	3101	Al Harrington	NA	PF	29	12	NBA	
NYK	72	15	30.5	6.2	14.3	0.435	1.9	5.7	
0.342	4.3	8.6	0.496	0.503	3.3	4.4	0.757	1.2	
4.4	5.6	1.5	0.9	0.4	1.8	2.9	17.7
2010	3734	Al Horford	NA	C	23	3	NBA	
ATL	81	81	35.1	5.8	10.5	0.551	0	0	1	
5.8	10.4	0.551	0.552	2.6	3.3	0.789	2.9	7	
9.9	2.3	0.7	1.1	1.5	2.8	14.2
2010	3496	Al Jefferson	NA	C	25	6	NBA	
MIN	76	76	32.4	7.4	14.8	0.498	0	0.1	0	
7.4	14.8	0.5	0.498	2.4	3.5	0.68	2.4	6.9	
9.3	1.8	0.8	1.3	1.8	2.7	17.1
2010	3735	Al Thornton	NA	SF	26	3	NBA	
TOT	75	46	27.7	4.3	9	0.473	0.1	0.4	
0.355	4.1	8.6	0.479	0.482	2	2.8	0.725	1.5	
2.4	3.9	1.2	0.6	0.5	1.4	2.7	10.7
2010	3366	Amar'e Stoudemire	NA	PF	27	8	
NBA	PHO	82	82	34.6	8.6	15.4	0.557	0	
0.1	0.167	8.6	15.3	0.559	0.557	5.9	7.7	0.771	
2.8	6.1	8.9	1	0.6	1	2.6	3.4	23.1
2010	3570	Amir Johnson	NA	PF	22	5	NBA	
TOR	82	5	17.7	2.5	4.1	0.623	0	0	0	
2.5	4	0.63	0.623	1.2	1.8	0.638	1.9	2.9	
4.8	0.6	0.5	0.8	0.8	3.1	6.2
2010	3497	Anderson Varejão	NA	PF	27	6	
NBA	CLE	76	7	28.5	3.5	6.1	0.572	0	
0.1	0.2	3.5	6.1	0.576	0.573	1.5	2.3	0.663	
2.5	5.1	7.6	1.1	0.9	0.9	0.9	2.9	8.6
2010	3571	Andray Blatche	NA	PF	23	5	NBA	
WAS	81	36	27.9	5.9	12.3	0.478	0.2	0.5	
0.295	5.7	11.8	0.487	0.485	2.1	2.9	0.744	2	
4.3	6.3	2.1	1	0.9	2.2	2.7	14.1
2010	3500	Andre Iguodala	NA	SF	26	6	NBA	
PHI	82	82	38.9	6	13.7	0.443	1.1	3.7	
0.31	4.9	10	0.492	0.485	3.8	5.2	0.733	1	
5.5	6.5	5.8	1.7	0.7	2.7	1.8	17.1
2010	3171	Andre Miller	NA	PG	33	11	NBA	
POR	82	66	30.5	4.9	11.1	0.445	0.2	1	
0.2	4.7	10.1	0.469	0.454	3.9	4.8	0.821	1	
2.3	3.2	5.4	1.1	0.1	2.1	2.1	14
2010	3655	Andrea Bargnani	NA	PF	24	4	NBA	
TOR	80	80	35	6.7	14.3	0.47	1.5	4.1	
0.372	5.2	10.2	0.509	0.523	2.3	2.9	0.774	1.3	
4.9	6.2	1.2	0.3	1.4	1.5	2.7	17.2
2010	3501	Andrés Nocioni	NA	SF	30	6	NBA	
SAC	75	28	19.7	3.1	7.8	0.399	1.3	3.3	
0.386	1.8	4.5	0.408	0.48	0.9	1.3	0.717	0.4	
2.5	3	1	0.4	0.3	0.9	2.1	8.5
2010	3573	Andrew Bogut	NA	C	25	5	NBA	
MIL	69	69	32.3	6.9	13.2	0.52	0	0	0	
6.9	13.2	0.521	0.52	2.2	3.4	0.629	3	7.1	
10.2	1.8	0.6	2.5	1.9	3.2	15.9
2010	3574	Andrew Bynum	NA	C	22	5	NBA	
LAL	65	65	30.4	6	10.6	0.57	0	0	0	
6	10.6	0.571	0.57	3	4	0.739	2.7	5.6	
8.3	1	0.5	1.4	1.8	3	15
2010	3104	Antawn Jamison	NA	PF	33	12	NBA	
TOT	66	64	36.5	7.2	15.7	0.461	1.3	3.7	
0.344	6	12	0.498	0.502	2.9	4.5	0.647	2.1	
6.3	8.4	1.3	1.1	0.3	1.4	2.7	18.7
2010	3796	Anthony Morrow	NA	SG	24	2	NBA	
GSW	69	37	29.2	4.8	10.2	0.468	2	4.4	
0.456	2.7	5.7	0.477	0.568	1.5	1.7	0.886	0.9	
2.9	3.8	1.5	0.9	0.2	1.2	2.3	13
2010	3038	Anthony Parker	NA	SG	34	7	NBA	
CLE	81	81	28.3	2.5	5.9	0.434	1.3	3.2	
0.414	1.2	2.6	0.458	0.547	0.9	1.2	0.789	0.4	
2.5	2.9	1.9	0.8	0.2	0.9	1.9	7.3
2010	3577	Antoine Wright	NA	SF	25	5	NBA	
TOR	67	10	20.8	2.4	6	0.406	0.9	2.6	
0.335	1.6	3.4	0.46	0.479	0.8	1.1	0.688	0.6	
2.3	2.8	1.1	0.4	0.2	0.9	2	6.5
2010	2896	Antonio McDyess	NA	PF	35	14	NBA	
SAS	77	50	21	2.7	5.6	0.479	0	0	0	
2.7	5.5	0.481	0.479	0.5	0.7	0.632	1.9	4	
5.9	1.1	0.6	0.4	1	1.9	5.8
2010	3737	Arron Afflalo	NA	SG	24	3	NBA	
DEN	82	75	27.1	3.3	7.1	0.465	1.3	3	
0.434	2	4.1	0.488	0.557	0.9	1.2	0.735	0.7	
2.4	3.1	1.7	0.6	0.4	0.9	2.7	8.8
2010	3860	Austin Daye	NA	SF	21	1	NBA	
DET	69	4	13.3	2	4.3	0.464	0.4	1.4	
0.305	1.6	2.9	0.54	0.514	0.7	0.8	0.821	0.5	2	
2.5	0.5	0.4	0.4	0.7	1.7	5.1
2010	3173	Baron Davis	NA	PG	30	11	NBA	
LAC	75	73	33.6	5.5	13.5	0.406	1.1	3.9	
0.277	4.4	9.6	0.459	0.446	3.2	3.9	0.821	0.7	
2.9	3.5	8	1.7	0.6	2.8	2.8	15.3
2010	2971	Ben Wallace	NA	C	35	14	NBA	
DET	69	67	28.6	2.3	4.2	0.541	0	0	0	
2.3	4.2	0.545	0.541	0.9	2.3	0.406	3.6	5.1	
8.7	1.5	1.2	1.2	0.9	1.9	5.5
2010	3506	Beno Udrih	NA	PG	27	6	NBA	
SAC	79	41	31.4	5.3	10.6	0.493	0.9	2.5	
0.377	4.3	8.1	0.53	0.538	1.5	1.8	0.837	0.5	
2.3	2.8	4.7	1.1	0.1	1.7	2.1	12.9
2010	3431	Boris Diaw	NA	PF	27	7	NBA	
CHA	82	82	35.4	4.5	9.4	0.483	0.8	2.5	
0.32	3.7	6.9	0.541	0.525	1.4	1.8	0.769	1.6	
3.6	5.2	4	0.7	0.7	2.2	2.7	11.3
2010	3106	Brad Miller	NA	C	33	12	NBA	
CHI	82	37	23.8	3	7.1	0.43	0.5	1.6	
0.28	2.6	5.5	0.474	0.462	2.2	2.7	0.827	1	
3.9	4.9	1.9	0.5	0.4	1.3	2.3	8.8
2010	3861	Brandon Jennings	NA	PG	20	1	
NBA	MIL	82	82	32.6	5.5	14.8	0.371	1.8	
4.7	0.374	3.7	10.1	0.37	0.431	2.7	3.3	0.817	
0.6	2.8	3.4	5.7	1.3	0.2	2.4	2.3	15.5
2010	3658	Brandon Roy	NA	SG	25	4	NBA	
POR	65	65	37.2	7.6	16	0.473	1.1	3.4	
0.33	6.4	12.6	0.512	0.508	5.3	6.8	0.78	1.1	
3.3	4.4	4.7	0.9	0.2	2	2.1	21.5
2010	3800	Brandon Rush	NA	SG	24	2	NBA	
IND	82	64	30.4	3.6	8.6	0.423	1.5	3.7	
0.411	2.1	4.9	0.433	0.511	0.7	1.1	0.629	0.5	
3.7	4.2	1.4	0.7	0.8	1.1	1.9	9.4
2010	3303	Brendan Haywood	NA	C	30	9	NBA	
TOT	77	67	30.6	3.6	6.4	0.562	0	0	0	
3.6	6.4	0.563	0.562	2	3.2	0.62	3.6	5.7	
9.3	0.6	0.3	2.1	1.3	2.7	9.1
2010	3801	Brook Lopez	NA	C	21	2	NBA	
NJN	82	82	36.9	6.9	13.8	0.499	0	0	0	
6.9	13.7	0.5	0.499	5.1	6.2	0.817	3.3	5.4	
8.6	2.3	0.7	1.7	2.5	3.1	18.8
2010	3582	C.J. Miles	NA	SF	22	5	NBA	
UTA	63	28	23.8	3.8	8.9	0.429	1.2	3.4	
0.341	2.7	5.5	0.484	0.495	1	1.5	0.695	0.7	2	
2.7	1.7	0.9	0.3	1.3	3	9.9
2010	3740	C.J. Watson	NA	PG	25	3	NBA	
GSW	65	15	27.5	3.8	8.1	0.468	0.7	2.2	
0.31	3.1	5.9	0.527	0.51	2	2.6	0.771	0.4	
2.2	2.6	2.8	1.6	0.1	1.1	1.9	10.3
2010	3741	Carl Landry	NA	PF	26	3	NBA	
TOT	80	29	30.9	6.2	11.6	0.536	0	0	
0.333	6.2	11.6	0.537	0.537	4.3	5.3	0.806	2.4	
3.5	5.9	0.8	0.7	0.8	1.7	2.9	16.8
2010	3305	Carlos Arroyo	NA	PG	30	8	NBA	
MIA	72	35	22	2.5	5.2	0.475	0.1	0.3	
0.28	2.4	4.9	0.489	0.484	1.1	1.3	0.844	0.4	
1.4	1.8	3.1	0.5	0.1	0.8	1.4	6.1
2010	3369	Carlos Boozer	NA	PF	28	8	NBA	
UTA	78	78	34.3	7.9	14.1	0.562	0	0	NA	
7.9	14.1	0.562	0.562	3.7	4.9	0.742	2.3	8.9	
11.2	3.2	1.1	0.5	2.7	3.5	19.5
2010	3510	Carlos Delfino	NA	SF	27	5	NBA	
MIL	75	66	30.4	4	9.8	0.408	1.8	4.9	
0.367	2.2	4.9	0.45	0.5	1.2	1.6	0.782	0.7	
4.6	5.3	2.7	1.1	0.3	1.6	1.8	11
2010	3435	Carmelo Anthony	NA	SF	25	7	NBA	
DEN	69	69	38.2	10	21.8	0.458	0.9	2.7	
0.316	9.1	19.1	0.478	0.478	7.4	8.9	0.83	2.2	
4.4	6.6	3.2	1.3	0.4	3	3.3	28.2
2010	3370	Caron Butler	NA	SF-SG	29	8	NBA	
TOT	74	74	37.6	6.1	14.2	0.428	0.6	2	
0.29	5.5	12.2	0.45	0.448	3.6	4.3	0.838	1.4	
4.8	6.2	2.1	1.6	0.3	2.2	2.6	16.3
2010	3583	Channing Frye	NA	C	26	5	NBA	
PHO	81	41	27	3.9	8.7	0.451	2.1	4.8	
0.439	1.8	3.8	0.466	0.573	1.2	1.5	0.81	0.8	
4.5	5.3	1.4	0.8	0.9	0.9	3.2	11.2
2010	3306	Charlie Bell	NA	SG	30	6	NBA	
MIL	71	39	22.7	2.4	6.2	0.381	1	2.8	
0.365	1.4	3.4	0.395	0.464	0.7	0.9	0.716	0.4	
1.4	1.9	1.5	0.5	0.2	0.8	1.9	6.5
2010	3584	Charlie Villanueva	NA	PF	25	5	
NBA	DET	78	16	23.7	4.7	10.6	0.439	1.3	
3.6	0.351	3.4	7	0.484	0.499	1.4	1.7	0.815	
1.1	3.6	4.7	0.7	0.6	0.7	0.9	2.9	11.9
2010	3864	Chase Budinger	NA	SF	21	1	NBA	
HOU	74	4	20.1	3.4	7.6	0.441	1.2	3.4	
0.369	2.1	4.3	0.497	0.522	0.9	1.2	0.77	0.5	
2.5	3	1.2	0.5	0.1	0.6	1.1	8.9
2010	3048	Chauncey Billups	NA	PG	33	13	
NBA	DEN	73	73	34.1	5.5	13.2	0.418	2.2	
5.6	0.386	3.4	7.6	0.441	0.499	6.4	7	0.91	
0.3	2.8	3.1	5.6	1.1	0.1	2.4	2.1	19.5
2010	3307	Chris Andersen	NA	PF	31	8	NBA	
DEN	76	0	22.3	1.9	3.3	0.566	0	0	0	
1.9	3.3	0.573	0.566	2.2	3.1	0.695	1.9	4.4	
6.4	0.4	0.6	1.9	0.8	2.3	5.9
2010	3436	Chris Bosh	NA	C	25	7	NBA	
TOR	70	70	36.1	8.6	16.5	0.518	0.1	0.3	
0.364	8.5	16.2	0.521	0.522	6.7	8.4	0.797	2.9	
7.9	10.8	2.4	0.6	1	2.4	2.4	24
2010	3803	Chris Douglas-Roberts	NA	SF	23	2	
NBA	NJN	67	38	25.8	3.8	8.6	0.445	0.2	
0.8	0.259	3.6	7.7	0.464	0.457	2	2.3	0.847	
0.7	2.3	3	1.4	0.8	0.3	1.4	1.5	9.8
2010	3511	Chris Duhon	NA	PG	27	6	NBA	
NYK	67	59	30.9	2.5	6.7	0.373	1.3	3.9	
0.349	1.2	2.9	0.404	0.472	1	1.4	0.716	0.4	
2.2	2.7	5.6	0.9	0	1.6	1.2	7.4
2010	3437	Chris Kaman	NA	C	27	7	NBA	
LAC	76	76	34.3	7.8	15.8	0.49	0	0.1	0	
7.8	15.7	0.492	0.49	3	4	0.749	2.4	6.8	
9.3	1.6	0.5	1.2	2.9	2.8	18.5
2010	3587	Chuck Hayes	NA	C	26	5	NBA	
HOU	82	82	21.6	2	4	0.489	0	0	NA	
2	4	0.489	0.489	0.4	0.8	0.545	1.8	3.8	
5.7	1.7	0.9	0.5	0.9	2.7	4.4
2010	3745	Corey Brewer	NA	SG	23	3	NBA	
MIN	82	82	30.3	5	11.6	0.431	1	2.9	
0.346	4	8.7	0.459	0.474	2	3.1	0.648	0.9	
2.5	3.4	2.4	1.4	0.4	2	2.7	13
2010	3178	Corey Maggette	NA	PF	30	11	NBA	
GSW	70	49	29.7	6.5	12.7	0.516	0.2	0.7	
0.26	6.3	11.9	0.531	0.523	6.6	7.9	0.835	1.3	4	
5.3	2.5	0.7	0.1	2.4	3.3	19.8
2010	3804	Courtney Lee	NA	SG	24	2	NBA	
NJN	71	66	33.5	4.8	10.9	0.436	1.1	3.2	
0.338	3.7	7.7	0.476	0.485	1.9	2.2	0.869	0.8	
2.7	3.5	1.7	1.3	0.3	1.1	1.8	12.5
2010	3663	Craig Smith	NA	PF	26	4	NBA	
LAC	75	2	16.4	3	5.3	0.569	0	0.1	
0.2	3	5.2	0.574	0.571	1.8	2.8	0.635	1.3	
2.5	3.8	1.1	0.4	0.3	1.2	2.6	7.8
2010	3805	D.J. Augustin	NA	PG	22	2	NBA	
CHA	80	2	18.4	2.1	5.4	0.386	0.9	2.2	
0.393	1.2	3.2	0.381	0.467	1.3	1.6	0.779	0.1	
1.1	1.2	2.4	0.6	0.1	0.9	1.6	6.4
2010	3439	Dahntay Jones	NA	SF	29	7	NBA	
IND	76	26	24.9	3.8	8.2	0.461	0.1	0.4	
0.125	3.7	7.8	0.479	0.464	2.6	3.4	0.77	0.6	
2.4	3	2	0.5	0.5	1.7	3.1	10.2
2010	3514	Damien Wilkins	NA	SF	30	6	NBA	
MIN	80	31	19.8	2.1	4.8	0.433	0.2	0.8	
0.295	1.8	4	0.459	0.457	1.3	1.6	0.798	0.9	
2.2	3.1	1.7	0.8	0.3	1	1.8	5.6
2010	3807	Danilo Gallinari	NA	SF	21	2	
NBA	NYK	81	74	33.9	4.8	11.4	0.423	2.3	6	
0.381	2.5	5.4	0.469	0.523	3.1	3.8	0.818	0.8	
4.1	4.9	1.7	0.9	0.7	1.4	2.4	15.1
2010	3868	Dante Cunningham	NA	PF	22	1	
NBA	POR	63	2	11.2	1.7	3.4	0.495	0	0	
0	1.7	3.4	0.5	0.495	0.5	0.8	0.646	0.9	
1.7	2.5	0.2	0.4	0.3	0.2	1.5	3.9
2010	3440	Darius Songaila	NA	C	31	7	NBA	
NOH	75	1	18.8	3.2	6.5	0.494	0	0.1	
0.167	3.2	6.4	0.498	0.495	0.8	1	0.811	0.8	
2.3	3.1	0.9	0.8	0.2	1.1	2.7	7.2
2010	3869	Darren Collison	NA	PG	22	1	NBA	
NOH	76	37	27.8	4.9	10.4	0.477	0.6	1.5	
0.4	4.3	8.9	0.49	0.506	1.9	2.3	0.851	0.5	2	
2.5	5.7	1	0.1	2.7	1.2	12.4
2010	3870	David Andersen	NA	C	29	1	NBA	
HOU	63	0	14.1	2.3	5.4	0.432	0.4	1.2	
0.346	1.9	4.2	0.458	0.472	0.7	1.1	0.687	0.9	
2.4	3.3	0.7	0.2	0.2	0.6	1.9	5.8
2010	3590	David Lee	1983	C	26	5	NBA	
NYK	81	81	37.3	8.5	15.5	0.545	0	0.1	0	
8.5	15.4	0.549	0.545	3.3	4.1	0.812	2.8	8.9	
11.7	3.6	1	0.5	2.3	3.2	20.2
2010	3442	David West	NA	PF	29	7	NBA	
NOH	81	81	36.4	7.6	15.1	0.505	0.1	0.3	
0.259	7.6	14.8	0.51	0.508	3.7	4.2	0.865	2	
5.4	7.5	3	0.9	0.7	2.1	2.9	19
2010	3810	DeAndre Jordan	NA	C	21	2	NBA	
LAC	70	12	16.2	2.1	3.4	0.605	0	0	0	
2.1	3.4	0.61	0.605	0.7	1.8	0.375	1.7	3.3	5	
0.3	0.2	0.9	1.1	2.2	4.8
2010	3871	DeJuan Blair	NA	PF	20	1	NBA	
SAS	82	23	18.2	3.4	6	0.556	0	0	0	
3.4	6	0.558	0.556	1.1	2	0.547	2.4	4	
6.4	0.8	0.6	0.5	1.4	2.7	7.8
2010	3872	DeMar DeRozan	NA	SG	20	1	NBA	
TOR	77	65	21.6	3.3	6.6	0.498	0.1	0.2	
0.25	3.3	6.4	0.506	0.502	1.9	2.5	0.763	0.9	2	
2.9	0.7	0.6	0.2	0.8	2.3	8.6
2010	3873	DeMarre Carroll	NA	SF	23	1	NBA	
MEM	71	1	11.2	1.2	3.1	0.396	0	0.1	0	
1.2	3	0.407	0.396	0.5	0.7	0.623	0.7	1.4	
2.1	0.5	0.4	0.1	0.3	1.5	2.9
2010	2979	Derek Fisher	NA	PG	35	14	NBA	
LAL	82	82	27.2	2.6	6.8	0.38	1	2.7	
0.348	1.6	4.1	0.401	0.45	1.4	1.6	0.856	0.3	
1.8	2.1	2.5	1.1	0.1	1	2.5	7.5
2010	3592	Deron Williams	NA	PG	25	5	NBA	
UTA	76	76	36.9	6.5	13.9	0.469	1.3	3.4	
0.371	5.2	10.4	0.501	0.515	4.4	5.5	0.801	0.7	
3.3	4	10.5	1.3	0.2	3.3	2.7	18.7
2010	3812	Derrick Rose	NA	PG	21	2	NBA	
CHI	78	78	36.8	8.6	17.6	0.489	0.2	0.8	
0.267	8.4	16.8	0.5	0.495	3.3	4.3	0.766	0.8	
2.9	3.8	6	0.7	0.3	2.8	1.2	20.8
2010	3242	DeShawn Stevenson	NA	SG	28	10	
NBA	TOT	64	18	13.8	0.7	2.5	0.282	0.3	
1.4	0.218	0.4	1.2	0.355	0.34	0.4	0.5	0.714	
0.2	1.3	1.4	0.9	0.3	0.1	0.5	1.2	2.1
2010	3517	Devin Harris	NA	PG	26	6	NBA	
NJN	64	61	34.7	5.6	13.8	0.403	0.9	3.4	
0.276	4.6	10.4	0.444	0.437	4.8	6	0.798	0.4	
2.8	3.2	6.6	1.2	0.3	2.8	2.8	16.9
2010	3116	Dirk Nowitzki	NA	PF	31	12	NBA	
DAL	81	80	37.5	8.9	18.5	0.481	0.6	1.5	
0.421	8.3	17	0.487	0.498	6.6	7.2	0.915	1	
6.7	7.7	2.7	0.9	1	1.8	2.6	25
2010	3813	Donté Greene	NA	SF	21	2	NBA	
SAC	76	50	21.4	3.2	7.3	0.441	0.9	2.4	
0.377	2.3	4.9	0.473	0.504	1.2	1.8	0.643	0.7	
2.4	3.1	0.9	0.5	0.7	1.2	2	8.5
2010	3519	Dorell Wright	NA	SF	24	6	NBA	
MIA	72	1	20.8	2.7	5.8	0.463	0.8	2.2	
0.389	1.8	3.6	0.508	0.536	0.8	1	0.884	0.7	
2.6	3.3	1.3	0.7	0.4	0.7	1.3	7.1
2010	3380	Drew Gooden	NA	C-PF	28	8	NBA	
