player,pos,fg_per_36_min,fga_per_36_min,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,percent_corner_3s_of_3pa,corner_3_point_percent
Aaron Gordon,PF,7.5,13.3,0.564,8.9,0.773,0.489,0.183,0.064,0.037,0.227,0.628,0.347,0.631,0.733,0.264,0.324,0.25
Aaron Holiday,PG,3.9,9.4,0.418,14.7,0.6,0.223,0.168,0.132,0.077,0.4,0.424,0.409,0.214,0.861,0,0.17,0.2
Aaron Nesmith,SF,5,11.7,0.427,15.5,0.468,0.249,0.136,0.063,0.02,0.532,0.496,0.366,0.701,0.965,0.042,0.424,0.383
Aaron Wiggins,SG,5.2,10.1,0.512,10.6,0.664,0.383,0.264,0.014,0.003,0.336,0.573,0.393,0.696,0.958,0.055,0.459,0.286
AJ Griffin,SF,6.4,13.7,0.465,16.8,0.514,0.101,0.165,0.173,0.075,0.486,0.536,0.39,0.558,0.891,0.017,0.293,0.408
Al Horford,C,4.3,9,0.476,18.8,0.322,0.14,0.123,0.038,0.021,0.678,0.539,0.446,0.675,0.993,0.023,0.378,0.488
Alec Burks,SG,6.4,14.7,0.436,18.2,0.479,0.089,0.144,0.124,0.122,0.521,0.459,0.414,0.307,0.687,0.002,0.222,0.491
Alex Caruso,PG,3,6.5,0.455,15,0.472,0.29,0.112,0.052,0.017,0.528,0.556,0.364,0.533,0.945,0.028,0.49,0.405
Alperen Şengün,C,7.3,13.2,0.553,6,0.929,0.395,0.464,0.053,0.016,0.071,0.57,0.333,0.499,1,0.109,0.035,0
Amir Coffey,SG,3.2,8.4,0.386,12.1,0.724,0.172,0.366,0.124,0.062,0.276,0.429,0.275,0.6,1,0.041,0.45,0.222
Andre Drummond,C,7,11.6,0.606,2.3,0.989,0.763,0.215,0.011,0,0.011,0.613,0,0.614,NA,0.277,0.333,0
Andrew Nembhard,SG,4.9,11.2,0.441,15.4,0.592,0.172,0.182,0.169,0.068,0.408,0.504,0.35,0.406,0.913,0.002,0.266,0.357
Anfernee Simons,SG,7.7,17.3,0.447,17.9,0.462,0.166,0.124,0.092,0.08,0.538,0.528,0.377,0.29,0.684,0.029,0.107,0.4
Anthony Davis,C,10.2,18.2,0.563,8.2,0.923,0.348,0.323,0.134,0.117,0.077,0.589,0.257,0.625,1,0.156,0.149,0.364
Anthony Edwards,SG,9,19.5,0.459,13.9,0.625,0.295,0.154,0.075,0.102,0.375,0.513,0.369,0.348,0.516,0.044,0.097,0.446
Anthony Gill,PF,4.1,7.6,0.538,8.7,0.78,0.311,0.409,0.053,0.008,0.22,0.65,0.138,0.672,1,0.045,0.621,0.167
Anthony Lamb,SF,4.5,9.5,0.471,17.8,0.366,0.15,0.188,0.006,0.022,0.634,0.652,0.367,0.68,0.986,0.045,0.342,0.353
Austin Reaves,SG,5.1,9.6,0.529,15.4,0.559,0.184,0.194,0.129,0.053,0.441,0.631,0.398,0.405,0.86,0.016,0.264,0.368
Austin Rivers,SG,3.2,7.4,0.435,15.7,0.411,0.201,0.191,0.019,0,0.589,0.558,0.35,0.354,0.907,0.019,0.659,0.42
Ayo Dosunmu,SG,4.8,9.8,0.493,11.2,0.668,0.411,0.147,0.07,0.04,0.332,0.583,0.312,0.55,1,0.018,0.466,0.33
Bam Adebayo,C,8.3,15.4,0.54,7.4,0.989,0.298,0.38,0.265,0.047,0.011,0.545,0.083,0.601,1,0.136,0,NA
Ben Simmons,PG,4.3,7.7,0.566,4.8,0.991,0.43,0.464,0.094,0.004,0.009,0.571,0,0.617,NA,0.157,0,NA
Bennedict Mathurin,SF,6.7,15.4,0.434,12.2,0.674,0.292,0.262,0.076,0.044,0.326,0.488,0.323,0.601,0.74,0.035,0.197,0.328
Bismack Biyombo,C,4.9,8.5,0.578,4.4,1,0.417,0.49,0.092,0,0,0.578,NA,0.824,NA,0.214,NA,NA
Blake Griffin,C,4,8.2,0.485,14,0.492,0.323,0.162,0.008,0,0.508,0.625,0.348,0.775,1,0.062,0.318,0.333
Bobby Portis,PF,7.9,15.9,0.496,13.3,0.68,0.23,0.202,0.172,0.076,0.32,0.555,0.37,0.597,1,0.025,0.35,0.278
Bogdan Bogdanović,SG,6.5,14.6,0.447,19.1,0.411,0.088,0.098,0.133,0.092,0.589,0.506,0.406,0.457,0.815,0.003,0.211,0.382
Bojan Bogdanović,PF,8.2,16.8,0.488,15.2,0.6,0.144,0.214,0.169,0.073,0.4,0.539,0.411,0.537,0.828,0.012,0.297,0.419
Bol Bol,PF,6.2,11.4,0.546,10.7,0.764,0.324,0.264,0.107,0.069,0.236,0.633,0.265,0.537,0.767,0.157,0.239,0.185
Bones Hyland,PG,7.6,18.9,0.399,17.6,0.448,0.156,0.175,0.082,0.035,0.552,0.434,0.371,0.279,0.607,0.007,0.137,0.442
Bones Hyland,PG,7.6,19.1,0.399,17.7,0.445,0.147,0.18,0.081,0.037,0.555,0.425,0.378,0.305,0.549,0.007,0.12,0.483
Bradley Beal,SG,9.6,18.9,0.506,12.9,0.751,0.197,0.256,0.164,0.133,0.249,0.552,0.365,0.401,0.713,0.016,0.201,0.364
Brandon Clarke,PF,7.6,11.5,0.656,5.1,0.983,0.496,0.318,0.146,0.023,0.017,0.665,0.167,0.768,1,0.158,1,0.167
Brandon Ingram,SF,9.5,19.5,0.484,13.7,0.804,0.143,0.19,0.277,0.194,0.196,0.507,0.39,0.385,0.813,0.034,0.073,0.5
Brook Lopez,C,7.2,13.6,0.531,14,0.595,0.281,0.17,0.108,0.036,0.405,0.637,0.374,0.745,0.971,0.087,0.198,0.403
Bruce Brown,SG,5.7,11.7,0.483,12.2,0.657,0.266,0.273,0.086,0.032,0.343,0.548,0.358,0.551,0.923,0.076,0.398,0.376
Bryce McGowens,SG,3.7,9.2,0.396,13,0.604,0.327,0.193,0.059,0.025,0.396,0.443,0.325,0.648,0.923,0.059,0.35,0.357
Buddy Hield,SF,6.9,15.1,0.458,19.4,0.348,0.153,0.084,0.044,0.066,0.652,0.518,0.425,0.561,0.889,0.012,0.168,0.474
Caleb Houstan,SF,2.9,8.1,0.363,20.1,0.253,0.159,0.038,0.005,0.049,0.747,0.435,0.338,0.65,1,0.005,0.338,0.478
Caleb Martin,PF,4.4,9.5,0.464,15,0.569,0.245,0.159,0.049,0.117,0.431,0.545,0.356,0.612,0.857,0.053,0.415,0.316
Cam Thomas,SG,7.6,17.3,0.441,14.6,0.708,0.125,0.226,0.228,0.129,0.292,0.464,0.383,0.327,0.451,0.011,0.105,0.5
Cameron Johnson,PF,6.7,14.2,0.47,17,0.462,0.198,0.097,0.089,0.078,0.538,0.548,0.404,0.6,0.971,0.049,0.361,0.424
Cameron Payne,PG,7,16.8,0.415,15.8,0.592,0.124,0.267,0.146,0.055,0.408,0.448,0.368,0.3,0.662,0,0.097,0.333
Caris LeVert,SG,5.1,11.9,0.431,14.7,0.563,0.239,0.181,0.116,0.028,0.437,0.462,0.392,0.373,0.709,0.043,0.231,0.413
Cedi Osman,SF,5.6,12.3,0.451,16.8,0.411,0.27,0.102,0.025,0.015,0.589,0.564,0.372,0.764,0.879,0.013,0.253,0.43
Chimezie Metu,C,6.7,11.4,0.589,7.5,0.826,0.479,0.279,0.055,0.014,0.174,0.663,0.237,0.783,1,0.329,0.079,0
Chris Boucher,PF,6.2,12.5,0.493,11.2,0.643,0.416,0.166,0.038,0.023,0.357,0.585,0.328,0.578,0.984,0.149,0.497,0.351
Chris Duarte,SF,4.9,13.4,0.369,17.3,0.477,0.189,0.099,0.099,0.09,0.523,0.428,0.316,0.471,0.782,0.015,0.328,0.333
Chris Paul,PG,5.6,12.7,0.44,18,0.609,0.025,0.127,0.302,0.154,0.391,0.482,0.375,0.163,0.551,0,0.073,0.421
Christian Braun,SG,4.4,8.8,0.495,11.4,0.668,0.36,0.239,0.028,0.042,0.332,0.565,0.354,0.67,0.941,0.114,0.417,0.4
Christian Koloko,C,3.2,6.7,0.48,4.9,0.92,0.633,0.213,0.067,0.007,0.08,0.514,0.083,0.704,1,0.32,0.5,0.167
Christian Wood,C,8.2,15.9,0.515,12.8,0.637,0.304,0.208,0.062,0.062,0.363,0.594,0.376,0.615,0.971,0.124,0.165,0.326
CJ McCollum,SG,8,18.3,0.437,16.2,0.596,0.109,0.21,0.15,0.127,0.404,0.469,0.389,0.303,0.758,0.004,0.107,0.328
Clint Capela,C,7.3,11.2,0.653,2.2,0.998,0.769,0.222,0.004,0.004,0.002,0.654,0,0.734,NA,0.291,0,NA
Coby White,SG,5.5,12.4,0.443,17.8,0.421,0.2,0.096,0.072,0.052,0.579,0.54,0.372,0.348,0.961,0.008,0.148,0.412
Cole Anthony,PG,6.4,14.1,0.454,14.7,0.662,0.143,0.249,0.151,0.12,0.338,0.5,0.364,0.248,0.733,0.023,0.083,0.353
Collin Sexton,SG,7.5,14.7,0.506,11.1,0.739,0.256,0.355,0.09,0.038,0.261,0.546,0.393,0.328,0.729,0.021,0.205,0.44
Corey Kispert,SF,5,10.1,0.497,18.8,0.344,0.179,0.125,0.029,0.01,0.656,0.637,0.424,0.766,0.982,0.029,0.224,0.488
Cory Joseph,PG,4.4,10.3,0.427,17.3,0.487,0.1,0.217,0.097,0.074,0.513,0.468,0.389,0.25,0.771,0,0.178,0.406
D'Angelo Russell,PG,7,14.8,0.469,17.6,0.483,0.129,0.137,0.133,0.084,0.517,0.548,0.396,0.315,0.68,0,0.102,0.4
D'Angelo Russell,PG,6.8,14.7,0.465,17.8,0.479,0.118,0.124,0.147,0.089,0.521,0.546,0.391,0.311,0.649,0,0.113,0.349
Daishen Nix,PG,3.2,9.3,0.342,17.4,0.409,0.19,0.194,0.004,0.021,0.591,0.423,0.286,0.439,0.825,0.013,0.15,0.238
Damian Jones,C,4.2,6.5,0.64,7.2,0.802,0.593,0.186,0.012,0.012,0.198,0.652,0.588,0.733,0.9,0.302,0.765,0.692
Damian Lillard,PG,9.5,20.5,0.463,17.9,0.453,0.235,0.109,0.05,0.058,0.547,0.574,0.371,0.157,0.516,0.012,0.058,0.395
Damion Lee,SG,4.8,10.8,0.442,17.5,0.454,0.122,0.144,0.126,0.062,0.546,0.439,0.445,0.7,0.991,0.004,0.393,0.495
Daniel Gafford,C,6.5,8.9,0.732,3.2,1,0.592,0.367,0.025,0.015,0,0.732,NA,0.668,NA,0.362,NA,NA
Danuel House Jr.,SF,4.1,8.8,0.472,15.9,0.442,0.289,0.086,0.03,0.036,0.558,0.644,0.336,0.75,0.946,0.071,0.482,0.358
Dario Šarić,PF,5.7,12.4,0.458,14,0.585,0.242,0.224,0.072,0.047,0.415,0.506,0.391,0.671,1,0.004,0.252,0.448
Darius Bazley,PF,4.9,10.7,0.454,9.9,0.71,0.448,0.175,0.071,0.016,0.29,0.485,0.377,0.794,0.95,0.186,0.358,0.474
Darius Garland,PG,7.7,16.6,0.462,15.1,0.635,0.17,0.229,0.134,0.102,0.365,0.492,0.41,0.286,0.58,0.004,0.09,0.378
David Roddy,PF,5.2,12,0.429,14.5,0.495,0.271,0.183,0.026,0.014,0.505,0.553,0.307,0.609,0.969,0.057,0.415,0.341
Davion Mitchell,PG,4.5,9.9,0.454,16.4,0.506,0.213,0.13,0.058,0.105,0.494,0.584,0.32,0.449,0.873,0.005,0.193,0.316
Dāvis Bertāns,PF,5,11.7,0.431,23.4,0.119,0.081,0.025,0.006,0.006,0.881,0.737,0.39,0.929,0.982,0.031,0.22,0.452
Davon Reed,SG,2.9,8.8,0.333,18.6,0.452,0.095,0.131,0.095,0.131,0.548,0.289,0.37,0.455,0.941,0.024,0.304,0.357
Day'Ron Sharpe,C,6.1,11.2,0.544,3.8,0.936,0.684,0.228,0.018,0.006,0.064,0.544,0.545,0.632,0.833,0.228,0.091,0
De'Aaron Fox,PG,10.1,19.7,0.512,13.5,0.724,0.171,0.251,0.194,0.108,0.276,0.584,0.324,0.16,0.613,0.033,0.128,0.255
De'Andre Hunter,SF,6.4,13.9,0.461,14.6,0.652,0.159,0.179,0.197,0.117,0.348,0.521,0.35,0.588,0.91,0.044,0.413,0.39
De'Anthony Melton,PG,4.6,10.9,0.425,18,0.381,0.186,0.131,0.037,0.028,0.619,0.484,0.39,0.483,0.879,0.011,0.246,0.374
Dean Wade,PF,2.9,7.2,0.412,19.1,0.282,0.164,0.062,0.045,0.011,0.718,0.56,0.354,0.821,1,0.04,0.409,0.404
Deandre Ayton,C,9.2,15.7,0.589,7.7,0.973,0.313,0.352,0.223,0.085,0.027,0.597,0.292,0.792,0.857,0.131,0,NA
Dejounte Murray,SG,8.2,17.6,0.464,14.6,0.707,0.159,0.158,0.232,0.158,0.293,0.514,0.344,0.194,0.729,0.016,0.225,0.437
Delon Wright,PG,4.1,8.6,0.474,14.4,0.591,0.196,0.299,0.062,0.034,0.409,0.564,0.345,0.268,0.854,0.014,0.244,0.345
DeMar DeRozan,SF,8.8,17.5,0.504,13.7,0.891,0.165,0.125,0.263,0.338,0.109,0.526,0.324,0.244,0.848,0.023,0.31,0.318
Deni Avdija,SF,4.5,10.3,0.437,13.3,0.599,0.278,0.263,0.038,0.021,0.401,0.53,0.297,0.538,0.942,0.057,0.241,0.339
Dennis Schröder,PG,4.9,11.8,0.415,14.4,0.654,0.168,0.208,0.18,0.098,0.346,0.461,0.329,0.25,0.905,0,0.258,0.345
Dennis Smith Jr.,PG,4.8,11.7,0.412,11.4,0.754,0.33,0.232,0.093,0.1,0.246,0.475,0.216,0.42,0.958,0.053,0.225,0.28
Derrick Jones Jr.,SF,4.6,9.3,0.5,9.7,0.652,0.548,0.096,0.009,0,0.348,0.587,0.338,0.739,1,0.178,0.6,0.375
Derrick White,SG,5.4,11.8,0.462,16.1,0.484,0.16,0.22,0.08,0.024,0.516,0.548,0.381,0.502,0.899,0.018,0.284,0.387
Desmond Bane,SG,8.8,18.4,0.479,14.8,0.567,0.229,0.21,0.071,0.056,0.433,0.534,0.408,0.521,0.729,0.007,0.15,0.508
Devin Booker,SG,10.3,20.9,0.494,14.5,0.704,0.156,0.202,0.204,0.142,0.296,0.554,0.351,0.387,0.685,0.02,0.149,0.362
Devonte' Graham,PG,4.3,11.6,0.374,22.5,0.216,0.058,0.072,0.035,0.051,0.784,0.452,0.352,0.31,0.798,0,0.104,0.429
Devonte' Graham,PG,3.8,10.3,0.368,23,0.177,0.056,0.056,0.03,0.035,0.823,0.463,0.347,0.421,0.848,0,0.105,0.35
Dillon Brooks,SF,6.4,16.1,0.396,15.8,0.557,0.157,0.19,0.138,0.072,0.443,0.451,0.326,0.438,0.797,0.012,0.164,0.361
Domantas Sabonis,C,7.6,12.3,0.615,6.3,0.912,0.493,0.318,0.044,0.058,0.088,0.639,0.373,0.581,1,0.094,0.12,0.2
Donovan Mitchell,SG,10.1,20.8,0.484,16.3,0.547,0.214,0.152,0.079,0.102,0.453,0.566,0.386,0.26,0.482,0.029,0.054,0.382
Donte DiVincenzo,SG,4.5,10.3,0.435,19.7,0.3,0.124,0.131,0.026,0.019,0.7,0.525,0.397,0.612,0.927,0.017,0.228,0.419
Dorian Finney-Smith,PF,3.5,9,0.391,17.8,0.325,0.218,0.088,0.012,0.008,0.675,0.503,0.337,0.671,0.974,0.084,0.382,0.38
Doug McDermott,SF,6.5,14.3,0.457,17.3,0.43,0.176,0.163,0.054,0.038,0.57,0.516,0.413,0.845,0.984,0.027,0.198,0.407
Draymond Green,PF,3.9,7.4,0.527,10.3,0.724,0.297,0.363,0.04,0.023,0.276,0.612,0.305,0.852,1,0.051,0.298,0.308
Drew Eubanks,C,4.9,7.6,0.641,5.8,0.946,0.497,0.317,0.108,0.024,0.054,0.655,0.389,0.783,1,0.269,0.167,0
Duncan Robinson,SF,4.6,12.3,0.371,22.3,0.19,0.055,0.089,0.034,0.013,0.81,0.556,0.328,0.92,1,0,0.188,0.306
Dwight Powell,C,4.9,6.6,0.732,2.5,0.981,0.799,0.167,0.004,0.011,0.019,0.746,0,0.787,NA,0.316,0.4,0
Dyson Daniels,PG,3,7.2,0.418,13.6,0.587,0.308,0.221,0.048,0.01,0.413,0.492,0.314,0.55,0.889,0.034,0.302,0.346
Edmond Sumner,SG,6.1,13.2,0.461,11.2,0.677,0.316,0.268,0.052,0.041,0.323,0.511,0.356,0.634,0.903,0.033,0.529,0.348
Eric Gordon,SG,5.3,12,0.446,17.2,0.455,0.164,0.243,0.041,0.006,0.545,0.535,0.371,0.39,0.811,0.002,0.084,0.467
Eric Gordon,SG,5.3,12.1,0.439,16.5,0.487,0.163,0.274,0.042,0.008,0.513,0.536,0.347,0.32,0.765,0.002,0.078,0.526
Evan Mobley,PF,7,12.6,0.554,7.3,0.892,0.411,0.323,0.122,0.036,0.108,0.595,0.216,0.74,1,0.239,0.402,0.195
Frank Ntilikina,PG,2.8,7.8,0.364,16.9,0.492,0.144,0.159,0.091,0.098,0.508,0.477,0.254,0.581,0.941,0,0.343,0.13
Franz Wagner,SF,7.5,15.4,0.485,12,0.678,0.27,0.311,0.063,0.034,0.322,0.544,0.361,0.464,0.8,0.03,0.172,0.435
Fred VanVleet,PG,6.2,15.8,0.393,18.6,0.455,0.12,0.144,0.091,0.101,0.545,0.455,0.342,0.187,0.594,0,0.122,0.419
Gabe Vincent,PG,4.7,11.6,0.402,19,0.383,0.093,0.138,0.09,0.062,0.617,0.512,0.334,0.432,0.735,0.002,0.323,0.381
Garrison Mathews,SG,3.8,10.5,0.363,23.8,0.104,0.045,0.04,0.01,0.01,0.896,0.476,0.35,0.5,0.952,0.01,0.228,0.39
Garrison Mathews,SG,3.6,10.2,0.353,24.1,0.088,0.041,0.035,0,0.012,0.912,0.467,0.342,0.429,0.981,0.006,0.232,0.389
Gary Harris,SG,4.2,9.3,0.45,19.4,0.29,0.143,0.091,0.016,0.039,0.71,0.494,0.431,0.523,0.915,0.01,0.417,0.462
Gary Trent Jr.,SG,6.9,15.9,0.433,17.8,0.519,0.117,0.129,0.121,0.152,0.481,0.493,0.369,0.498,0.861,0.024,0.178,0.288
George Hill,PG,3.4,7.2,0.47,17.7,0.428,0.205,0.102,0.054,0.066,0.572,0.62,0.358,0.477,0.853,0.018,0.337,0.438
Georges Niang,PF,5.3,12,0.442,20.8,0.235,0.096,0.112,0.024,0.004,0.765,0.576,0.401,0.75,1,0,0.19,0.534
Giannis Antetokounmpo,PF,12.6,22.7,0.553,8.1,0.866,0.48,0.212,0.091,0.084,0.134,0.596,0.275,0.415,0.617,0.166,0.023,0.25
Goran Dragić,PG,5.8,13.9,0.421,15.8,0.567,0.185,0.128,0.179,0.075,0.433,0.468,0.359,0.393,0.904,0,0.186,0.481
Goran Dragić,PG,5.8,13.7,0.425,15.5,0.572,0.191,0.13,0.181,0.07,0.428,0.48,0.352,0.39,0.911,0,0.195,0.48
Gordon Hayward,SF,6.3,13.3,0.475,14.4,0.725,0.16,0.201,0.191,0.172,0.275,0.532,0.325,0.554,0.904,0.028,0.231,0.432
Grant Williams,PF,3.8,8.4,0.454,17.5,0.389,0.137,0.2,0.046,0.006,0.611,0.546,0.395,0.594,0.957,0.032,0.416,0.421
